,accuracy,f1_score,auc_roc,tn,fp,fn,tp
xgboost,0.977377790170382,0.07832585949177877,0.9131334617625597,133068.0,33.0,3050.0,131.0
foret_aleatoire,0.9766733684565827,0.0012566760917373547,0.9012354160730858,133101.0,0.0,3179.0,2.0
regression_logistique,0.9766586930042118,0.0,0.7695472072283376,133101.0,0.0,3181.0,0.0
